CustomerID,Name,Region,JoinDate,Status,Points
1051,Amy Nguyen,Central,2/13/2024,Bronze,57
1052,Brandon Hinton,south-west,11/10/2022,Gold,5310
1053,Benjamin Cline,east,1/25/2022,Gold,7129
1054,Laura Mcdonald,South,12/3/2022,Gold,7481
1055,William Benitez,east,11/4/2020,Platinum,7980
1056,Kristina Wilson,east,5/15/2023,Silver,2353
1057,Kathy Hall,North,10/27/2023,Silver,1892
1058,Steven Jackson,Central,6/26/2020,Platinum,7513
1059,Steve Massey,West,8/6/2020,Platinum,10149
1060,Mr. Christopher Thompson,South,4/10/2023,Silver,2937
1061,Taylor Kaufman,North,7/23/2021,Gold,4741
1062,Ashley Harmon,South,2/13/2024,Bronze,360
1063,Howard Case,south-west,2/15/2021,Gold,4343
1064,Joshua Cline,EAST,2/19/2024,Bronze,94
1065,Daniel Adams,Central,7/2/2023,Silver,3138
1066,Derrick Myers,North,4/6/2022,Gold,4621
1067,Lawrence Pearson,east,4/29/2023,Silver,1257
1068,Melissa Gutierrez,East,12/25/2023,Silver,1089
1069,Virginia Warren,North,8/24/2023,Silver,2310
1070,Brittany Johnson,East,6/4/2021,Gold,5991
1071,Christopher Frost,east,8/21/2020,Platinum,11899
1072,Shannon Schmitt,EAST,8/23/2022,Gold,4917
1073,Matthew Clark,Central,8/21/2023,Silver,1537
1074,Alyssa Evans,West,10/27/2021,Gold,4117
1075,Joseph Chavez,North,1/1/2023,Silver,1768
1076,Glenn Shelton,east,5/1/2024,Broze,19
1077,Amy Espinoza,North,5/29/2021,Gold,6075
1078,Danielle Fuller,south-west,12/8/2023,Silver,3354
1079,Zachary Thompson MD,EAST,9/5/2022,Gold,6688
1080,Thomas Parker,south-west,2/28/2023,Silver,3095
1081,Ryan White,South,9/4/2020,Platinum,9493
1082,Connor Martin,Central,1/5/2023,Silver,2809
1083,Jacqueline Bishop,South,6/5/2020,Platinum,9808
1084,Martha Mccall,North,5/31/2022,Gold,5493
1085,Steven Wright,Central,8/22/2021,Gold,4417
1086,Robert Rodriguez,EAST,3/1/2023,Silver,2608
1087,Carla Tran,EAST,7/22/2020,Platinum,7601
1088,Lindsay Torres,east,12/30/2021,Gold,4797
1089,Matthew Hernandez,North,4/12/2023,Silver,2599
1090,Nicholas Dunlap,South,10/11/2020,Platinum,11076
1091,Brianna Thomas,south-west,5/23/2023,Silver,2235
1092,Timothy Hill,West,9/7/2023,Silver,2492
1093,Christian Medina,East,2/4/2023,Silver,1661
1094,Robert Jones,West,11/18/2023,Silver,3229
1095,Dr. Jason Scott,South,4/7/2021,Gold,5536
1096,Patricia Rogers,South,1/10/2024,Bronze,661
1097,Laura Jones,EAST,12/7/2023,Silver,1913
1098,Jeffrey Maxwell,West,1/27/2022,Gold,4145
1099,Lori Howard,EAST,2/27/2021,Gold,4231
1100,Michael Simon,EAST,12/27/2020,Platinum,10739
1101,Ryan Martin,south-west,11/14/2020,Platinum,10275
1102,Robert Hansen,Central,11/19/2022,Gold,4085
1103,Megan Chandler,East,6/25/2023,Silver,3538
1104,David Herrera,West,4/1/2021,Gold,6950
1105,Taylor Clarke,Central,3/11/2023,Silver,2328
1106,Jennifer Ewing,east,5/16/2023,Silver,2786
1107,Emily Hoffman,West,6/9/2023,Silver,3969
1108,Sharon Bautista,Central,7/31/2022,Gold,7158
1109,Aaron Garcia,EAST,7/31/2023,Silver,2967
1110,Melissa Grimes,South,3/14/2024,Bronze,926
1111,Ronald Chavez,south-west,6/24/2021,Gold,4647
1112,Joseph Flores,East,4/3/2021,Gold,4093
1113,Louis Jones,Central,7/4/2021,Gold,6348
1114,Grace Price,South,3/25/2022,Gold,7444
1115,Gina Banks,West,9/16/2023,Silver,3127
1116,Melissa Rivera,Central,10/25/2021,Gold,6360
1117,Amanda Lang,North,4/14/2024,Bronze,
1118,Briana Alvarado,South,3/18/2022,Gold,6442
1119,Cameron Hernandez,east,8/8/2022,Gold,4653
1120,Daniel Meyer,South,3/15/2024,Bronze,434
1121,Stephanie Garrison,East,8/21/2020,Platinum,9158
1122,Christopher Martinez,east,10/7/2021,Gold,4045
1123,Colleen Greene,south-west,8/21/2022,Gold,5700
1124,Megan Novak,East,12/19/2022,Gold,7199
1125,Debbie Andrews,West,5/22/2021,Gold,6362
1126,Lee Luna,east,1/19/2021,Gold,5562
1127,George Edwards,Central,5/12/2023,Silver,1059
1128,Vincent Day,North,7/3/2022,Gold,4518
1129,Karina Jones,East,11/5/2023,Silver,3334
1130,Mary Sandoval,North,10/6/2020,Platinum,7658
1131,Mark Gomez,West,6/11/2020,Platinum,9771
1132,Scott Winters,West,9/20/2022,Gold,6286
1133,Victor Wagner,south-west,6/12/2021,Gold,4655
1134,Joseph Aguilar,West,12/5/2023,Silver,1516
1135,Christopher Chen,South,9/10/2023,Silver,3398
1136,Scott Hernandez,South,2/9/2024,Bronze,593
1137,Jessica Harmon,south-west,11/5/2022,Gold,4488
1138,Bonnie Stewart,South,4/19/2022,Gold,6761
1139,Heather Olson,Central,4/20/2021,Gold,4460
1140,Carla Flores,EAST,9/30/2020,Platinum,11701
1141,David Palmer,North,9/16/2022,Gold,7088
1142,Marvin Hamilton,North,4/23/2022,Gold,6954
1143,Miss Chelsea Castro DDS,Central,2/23/2021,Gold,6539
1144,Brian Browning,EAST,5/3/2023,Silver,1955
1145,Stephanie Powell,east,2/3/2023,Silver,3787
1146,Jonathan Andrade,south-west,6/7/2020,Platinum,10727
1147,William Palmer,south-west,8/14/2023,Silver,2525
1148,Dean Allison,West,6/23/2021,Gold,4090
1149,Jordan Elliott,North,5/13/2020,Platinum,10638
1150,Bobby Hunter,North,12/6/2020,Platinum,8462
1151,Sabrina Lester,West,7/16/2022,Gold,6328
1152,Thomas Garcia,east,9/14/2022,Gold,7495
1153,Michelle Martinez,East,7/31/2023,Silver,1369
1154,Edward Castillo,North,10/1/2020,Platinum,8518
1155,Rachel Goodman,North,4/10/2023,Silver,2124
1156,Dennis Acevedo,East,6/18/2023,Silver,2772
1157,Cheryl Wu,West,12/10/2021,Gold,4097
1158,Kelly Gallagher,East,3/2/2024,Bronze,790
1159,Kelli Smith,North,1/28/2022,Gold,4788
1160,Phillip Soto,West,4/21/2023,Silver,3833
1161,David Ellis,East,1/2/2023,Silver,3865
1162,Deborah Rice,east,1/14/2022,Gold,6423
1163,Elizabeth Vaughn,West,5/1/2023,Silver,2265
1164,William Ramsey,North,5/4/2023,Silver,3633
1165,Richard Burnett,Central,7/24/2022,Gold,6026
1166,David Mccullough,south-west,12/15/2021,Gold,4029
1167,Terry Frederick,North,12/20/2021,Gold,6933
1168,Denise Gonzales,South,5/2/2022,Gold,6178
1169,Michael Edwards,south-west,9/26/2023,Silver,2662
1170,Eric Davis,North,10/15/2023,Silver,3995
1171,Ronald Marquez,south-west,4/21/2024,Bronze,127
1172,Eric Barr,EAST,2/1/2023,Silver,1531
1173,David King MD,North,9/14/2022,Gold,6069
1174,Deborah Saunders,West,12/25/2021,Gold,4369
1175,Teresa Lopez,West,10/20/2021,Gold,5028
1176,Ashley Williams,EAST,11/24/2021,Gold,6809
1177,Katherine West,east,11/1/2020,Platinum,10927
1178,Katherine Kerr,EAST,11/13/2020,Platinum,9704
1179,Desiree Miller,EAST,12/21/2021,Gold,5959
1180,Jennifer Smith,south-west,10/3/2020,Platinum,9244
1181,Tiffany Smith,East,4/7/2024,Bronze,982
1182,James Gray,West,7/24/2020,Platinum,11074
1183,Kenneth Graves,East,5/8/2020,Platinum,9897
1184,Brittney Chen,EAST,7/20/2023,Silver,2251
1185,Cameron Levine,east,7/26/2021,Gold,7334
1186,Timothy Williams,West,9/28/2021,Gold,4241
1187,Kayla Solomon,North,6/10/2022,Gold,7157
1188,Ashley Todd,North,9/4/2023,Silver,1533
1189,Jennifer Farrell,North,11/18/2022,Gold,4770
1190,Elizabeth Robinson,south-west,12/27/2023,Silver,3809
1191,Kyle Smith Jr.,South,10/31/2023,Silver,2094
1192,Gregory Medina,EAST,6/6/2020,Platinum,10982
1193,Nancy King,South,5/23/2022,Gold,5338
1194,Casey Brown,Central,2/9/2024,Bronze,852
1195,Michael Lee,south-west,8/22/2023,Silver,2498
1196,Dr. Elizabeth Johnston DDS,North,2/9/2022,Gold,5919
1197,William Wilson,West,4/4/2023,Silver,1800
1198,Chris Allen,south-west,10/11/2022,NA,4537
1199,James Cooley,West,7/23/2020,Platinum,102880
